# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 cbdbfc
-15 -16 0 cbdbfc
-14 -16 0 cbdbfc
-13 -16 0 cbdbfc
-12 -16 0 cbdbfc
-11 -16 0 cbdbfc
-10 -16 0 cbdbfc
-9 -16 0 cbdbfc
-8 -16 0 cbdbfc
-7 -16 0 cbdbfc
-6 -16 0 cbdbfc
-5 -16 0 cbdbfc
-4 -16 0 cbdbfc
-3 -16 0 cbdbfc
-2 -16 0 cbdbfc
-1 -16 0 cbdbfc
-16 -15 0 cbdbfc
-16 -14 0 cbdbfc
-16 -13 0 cbdbfc
-16 -12 0 cbdbfc
-16 -11 0 cbdbfc
-16 -10 0 cbdbfc
-16 -9 0 cbdbfc
-16 -8 0 cbdbfc
-16 -7 0 cbdbfc
-16 -6 0 cbdbfc
-16 -5 0 cbdbfc
-16 -4 0 cbdbfc
-16 -3 0 cbdbfc
-16 -2 0 cbdbfc
-16 -1 0 cbdbfc
-16 -16 1 cbdbfc
-16 -16 2 cbdbfc
-16 -16 3 cbdbfc
-16 -16 4 cbdbfc
-16 -16 5 cbdbfc
-16 -16 6 cbdbfc
-16 -16 7 cbdbfc
-16 -16 8 cbdbfc
-16 -16 9 cbdbfc
-16 -16 10 cbdbfc
-16 -16 11 cbdbfc
-16 -16 12 cbdbfc
-16 -16 13 cbdbfc
-16 -16 14 cbdbfc
-16 -16 15 cbdbfc
0 -16 0 cbdbfc
1 -16 0 cbdbfc
2 -16 0 cbdbfc
3 -16 0 cbdbfc
4 -16 0 cbdbfc
5 -16 0 cbdbfc
6 -16 0 cbdbfc
7 -16 0 cbdbfc
8 -16 0 cbdbfc
9 -16 0 cbdbfc
10 -16 0 cbdbfc
11 -16 0 cbdbfc
12 -16 0 cbdbfc
13 -16 0 cbdbfc
14 -16 0 cbdbfc
15 -16 0 cbdbfc
15 -15 0 cbdbfc
15 -14 0 cbdbfc
15 -13 0 cbdbfc
15 -12 0 cbdbfc
15 -11 0 cbdbfc
15 -10 0 cbdbfc
15 -9 0 cbdbfc
15 -8 0 cbdbfc
15 -7 0 cbdbfc
15 -6 0 cbdbfc
15 -5 0 cbdbfc
15 -4 0 cbdbfc
15 -3 0 cbdbfc
15 -2 0 cbdbfc
15 -1 0 cbdbfc
15 -16 1 cbdbfc
15 -16 2 cbdbfc
15 -16 3 cbdbfc
15 -16 4 cbdbfc
15 -16 5 cbdbfc
15 -16 6 cbdbfc
15 -16 7 cbdbfc
15 -16 8 cbdbfc
15 -16 9 cbdbfc
15 -16 10 cbdbfc
15 -16 11 cbdbfc
15 -16 12 cbdbfc
15 -16 13 cbdbfc
15 -16 14 cbdbfc
15 -16 15 cbdbfc
-16 0 0 cbdbfc
-16 1 0 cbdbfc
-16 2 0 cbdbfc
-16 3 0 cbdbfc
-16 4 0 cbdbfc
-16 5 0 cbdbfc
-16 6 0 cbdbfc
-16 7 0 cbdbfc
-16 8 0 cbdbfc
-16 9 0 cbdbfc
-16 10 0 cbdbfc
-16 11 0 cbdbfc
-16 12 0 cbdbfc
-16 13 0 cbdbfc
-16 14 0 cbdbfc
-16 15 0 cbdbfc
-15 15 0 cbdbfc
-14 15 0 cbdbfc
-13 15 0 cbdbfc
-12 15 0 cbdbfc
-11 15 0 cbdbfc
-10 15 0 cbdbfc
-9 15 0 cbdbfc
-8 15 0 cbdbfc
-7 15 0 cbdbfc
-6 15 0 cbdbfc
-5 15 0 cbdbfc
-4 15 0 cbdbfc
-3 15 0 cbdbfc
-2 15 0 cbdbfc
-1 15 0 cbdbfc
-16 15 1 cbdbfc
-16 15 2 cbdbfc
-16 15 3 cbdbfc
-16 15 4 cbdbfc
-16 15 5 cbdbfc
-16 15 6 cbdbfc
-16 15 7 cbdbfc
-16 15 8 cbdbfc
-16 15 9 cbdbfc
-16 15 10 cbdbfc
-16 15 11 cbdbfc
-16 15 12 cbdbfc
-16 15 13 cbdbfc
-16 15 14 cbdbfc
-16 15 15 cbdbfc
15 0 0 cbdbfc
15 1 0 cbdbfc
15 2 0 cbdbfc
15 3 0 cbdbfc
15 4 0 cbdbfc
15 5 0 cbdbfc
15 6 0 cbdbfc
15 7 0 cbdbfc
15 8 0 cbdbfc
15 9 0 cbdbfc
15 10 0 cbdbfc
15 11 0 cbdbfc
15 12 0 cbdbfc
15 13 0 cbdbfc
15 14 0 cbdbfc
0 15 0 cbdbfc
1 15 0 cbdbfc
2 15 0 cbdbfc
3 15 0 cbdbfc
4 15 0 cbdbfc
5 15 0 cbdbfc
6 15 0 cbdbfc
7 15 0 cbdbfc
8 15 0 cbdbfc
9 15 0 cbdbfc
10 15 0 cbdbfc
11 15 0 cbdbfc
12 15 0 cbdbfc
13 15 0 cbdbfc
14 15 0 cbdbfc
15 15 0 cbdbfc
15 15 1 cbdbfc
15 15 2 cbdbfc
15 15 3 cbdbfc
15 15 4 cbdbfc
15 15 5 cbdbfc
15 15 6 cbdbfc
15 15 7 cbdbfc
15 15 8 cbdbfc
15 15 9 cbdbfc
15 15 10 cbdbfc
15 15 11 cbdbfc
15 15 12 cbdbfc
15 15 13 cbdbfc
15 15 14 cbdbfc
15 15 15 cbdbfc
-16 -16 16 cbdbfc
-16 -16 17 cbdbfc
-16 -16 18 cbdbfc
-16 -16 19 cbdbfc
-16 -16 20 cbdbfc
-16 -16 21 cbdbfc
-16 -16 22 cbdbfc
-16 -16 23 cbdbfc
-16 -16 24 cbdbfc
-16 -16 25 cbdbfc
-16 -16 26 cbdbfc
-16 -16 27 cbdbfc
-16 -16 28 cbdbfc
-16 -16 29 cbdbfc
-16 -16 30 cbdbfc
-16 -16 31 cbdbfc
-15 -16 31 cbdbfc
-14 -16 31 cbdbfc
-13 -16 31 cbdbfc
-12 -16 31 cbdbfc
-11 -16 31 cbdbfc
-10 -16 31 cbdbfc
-9 -16 31 cbdbfc
-8 -16 31 cbdbfc
-7 -16 31 cbdbfc
-6 -16 31 cbdbfc
-5 -16 31 cbdbfc
-4 -16 31 cbdbfc
-3 -16 31 cbdbfc
-2 -16 31 cbdbfc
-1 -16 31 cbdbfc
-16 -15 31 cbdbfc
-16 -14 31 cbdbfc
-16 -13 31 cbdbfc
-16 -12 31 cbdbfc
-16 -11 31 cbdbfc
-16 -10 31 cbdbfc
-16 -9 31 cbdbfc
-16 -8 31 cbdbfc
-16 -7 31 cbdbfc
-16 -6 31 cbdbfc
-16 -5 31 cbdbfc
-16 -4 31 cbdbfc
-16 -3 31 cbdbfc
-16 -2 31 cbdbfc
-16 -1 31 cbdbfc
15 -16 16 cbdbfc
15 -16 17 cbdbfc
15 -16 18 cbdbfc
15 -16 19 cbdbfc
15 -16 20 cbdbfc
15 -16 21 cbdbfc
15 -16 22 cbdbfc
15 -16 23 cbdbfc
15 -16 24 cbdbfc
15 -16 25 cbdbfc
15 -16 26 cbdbfc
15 -16 27 cbdbfc
15 -16 28 cbdbfc
15 -16 29 cbdbfc
15 -16 30 cbdbfc
0 -16 31 cbdbfc
1 -16 31 cbdbfc
2 -16 31 cbdbfc
3 -16 31 cbdbfc
4 -16 31 cbdbfc
5 -16 31 cbdbfc
