# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 595652
-15 -16 0 595652
-14 -16 0 595652
-13 -16 0 595652
-12 -16 0 595652
-11 -16 0 595652
-10 -16 0 595652
-9 -16 0 595652
-8 -16 0 595652
-7 -16 0 595652
-6 -16 0 595652
-5 -16 0 595652
-4 -16 0 595652
-3 -16 0 595652
-2 -16 0 595652
-1 -16 0 595652
-16 -15 0 595652
-15 -15 0 595652
-14 -15 0 595652
-13 -15 0 595652
-12 -15 0 595652
-11 -15 0 595652
-10 -15 0 595652
-9 -15 0 595652
-8 -15 0 595652
-7 -15 0 595652
-6 -15 0 595652
-5 -15 0 595652
-4 -15 0 595652
-3 -15 0 595652
-2 -15 0 595652
-1 -15 0 595652
-16 -14 0 595652
-15 -14 0 595652
-14 -14 0 595652
-13 -14 0 595652
-12 -14 0 595652
-11 -14 0 595652
-10 -14 0 595652
-9 -14 0 595652
-8 -14 0 595652
-7 -14 0 595652
-6 -14 0 595652
-5 -14 0 595652
-4 -14 0 595652
-3 -14 0 595652
-2 -14 0 595652
-1 -14 0 595652
-16 -13 0 595652
-15 -13 0 595652
-14 -13 0 595652
-13 -13 0 595652
-12 -13 0 595652
-11 -13 0 595652
-10 -13 0 595652
-9 -13 0 595652
-8 -13 0 595652
-7 -13 0 595652
-6 -13 0 595652
-5 -13 0 595652
-4 -13 0 595652
-3 -13 0 595652
-2 -13 0 595652
-1 -13 0 595652
-16 -12 0 595652
-15 -12 0 595652
-14 -12 0 595652
-13 -12 0 595652
-12 -12 0 595652
-11 -12 0 595652
-10 -12 0 595652
-9 -12 0 595652
-8 -12 0 595652
-7 -12 0 595652
-6 -12 0 595652
-5 -12 0 595652
-4 -12 0 595652
-3 -12 0 595652
-2 -12 0 595652
-1 -12 0 595652
-16 -11 0 595652
-15 -11 0 595652
-14 -11 0 595652
-13 -11 0 595652
-12 -11 0 595652
-11 -11 0 595652
-10 -11 0 595652
-9 -11 0 595652
-8 -11 0 595652
-7 -11 0 595652
-6 -11 0 595652
-5 -11 0 595652
-4 -11 0 595652
-3 -11 0 595652
-2 -11 0 595652
-1 -11 0 595652
-16 -10 0 595652
-15 -10 0 595652
-14 -10 0 595652
-13 -10 0 595652
-12 -10 0 595652
-11 -10 0 595652
-10 -10 0 595652
-9 -10 0 595652
-8 -10 0 595652
-7 -10 0 595652
-6 -10 0 595652
-5 -10 0 595652
-4 -10 0 595652
-3 -10 0 595652
-2 -10 0 595652
-1 -10 0 595652
-16 -9 0 595652
-15 -9 0 595652
-14 -9 0 595652
-13 -9 0 595652
-12 -9 0 595652
-11 -9 0 595652
-10 -9 0 595652
-9 -9 0 595652
-8 -9 0 595652
-7 -9 0 595652
-6 -9 0 595652
-5 -9 0 595652
-4 -9 0 595652
-3 -9 0 595652
-2 -9 0 595652
-1 -9 0 595652
-16 -8 0 595652
-15 -8 0 595652
-14 -8 0 595652
-13 -8 0 595652
-12 -8 0 595652
-11 -8 0 595652
-10 -8 0 595652
-9 -8 0 595652
-8 -8 0 595652
-7 -8 0 595652
-6 -8 0 595652
-5 -8 0 595652
-4 -8 0 595652
-3 -8 0 595652
-2 -8 0 595652
-1 -8 0 595652
-16 -7 0 595652
-15 -7 0 595652
-14 -7 0 595652
-13 -7 0 595652
-12 -7 0 595652
-11 -7 0 595652
-10 -7 0 595652
-9 -7 0 595652
-8 -7 0 595652
-7 -7 0 595652
-6 -7 0 595652
